Date,Predictions
5/28/2015,38.987186
5/28/2015,39.236767
5/28/2015,38.3561
5/28/2015,38.482048
5/28/2015,38.1462
5/29/2015,39.412792
5/29/2015,39.07371
6/1/2015,38.682426
6/1/2015,41.291283
6/1/2015,41.59785
6/2/2015,41.62378
6/2/2015,42.792465
6/2/2015,43.49789
6/2/2015,43.56359
6/3/2015,42.74192
6/3/2015,42.583355
6/3/2015,42.36496
6/3/2015,42.6804
6/3/2015,42.5586
6/3/2015,42.69707
6/4/2015,42.602283
6/4/2015,42.726402
6/4/2015,43.00941
6/4/2015,42.761806
6/4/2015,43.23346
6/4/2015,43.554646
6/4/2015,43.583035
6/5/2015,43.737083
6/5/2015,43.281723
6/5/2015,43.745457
6/7/2015,43.927174
6/7/2015,43.879326
6/7/2015,43.657978
6/7/2015,43.129333
6/7/2015,43.20798
6/7/2015,44.707447
6/8/2015,45.313015
6/8/2015,45.437943
6/8/2015,45.885334
6/10/2015,46.508793
6/10/2015,47.02171
6/10/2015,46.623722
6/10/2015,47.020763
6/10/2015,48.793694
6/10/2015,47.754333
6/10/2015,47.226482
6/10/2015,46.686832
6/10/2015,47.132507
6/10/2015,47.189346
6/11/2015,47.46679
6/11/2015,47.833447
6/11/2015,48.50005
6/11/2015,48.875336
6/11/2015,48.922417
6/11/2015,49.23886
6/11/2015,50.03512
6/15/2015,49.88567
6/15/2015,50.11814
6/15/2015,49.71867
6/17/2015,49.715565
6/17/2015,49.80567
6/17/2015,49.820133
6/18/2015,50.763058
6/18/2015,50.982407
6/18/2015,51.12747
6/18/2015,51.829517
6/18/2015,51.78705
6/18/2015,51.322773
6/19/2015,51.075466
6/19/2015,51.139317
6/23/2015,50.136547
6/23/2015,52.619595
6/24/2015,52.289734
6/24/2015,52.88475
6/24/2015,52.12244
6/24/2015,50.719437
6/24/2015,50.730762
6/25/2015,50.176453
6/25/2015,49.284943
6/25/2015,46.441418
6/26/2015,47.165646
6/26/2015,47.73525
6/26/2015,47.54876
6/26/2015,47.22069
6/29/2015,45.76898
6/29/2015,46.661293
6/29/2015,45.704018
6/29/2015,44.87725
6/30/2015,44.750507
6/30/2015,44.577183
6/30/2015,44.387085
6/30/2015,44.58776
6/30/2015,43.751686
6/30/2015,43.381744
6/30/2015,44.850212
6/30/2015,45.640568
6/30/2015,46.31183
7/1/2015,47.544086
7/1/2015,48.116505
7/1/2015,48.665512
7/1/2015,48.54902
7/5/2015,48.55619
7/7/2015,48.1734
7/7/2015,48.46917
7/7/2015,49.615295
7/7/2015,49.492744
7/8/2015,49.860794
7/8/2015,49.67793
7/8/2015,49.644012
7/8/2015,48.9064
7/8/2015,49.944263
7/10/2015,49.93781
7/10/2015,49.51545
7/10/2015,50.398182
7/10/2015,50.687817
7/10/2015,51.101273
7/10/2015,51.01736
7/10/2015,50.02862
7/12/2015,50.35822
7/12/2015,50.779465
7/12/2015,50.443295
7/13/2015,50.85763
7/13/2015,51.280556
7/13/2015,51.12641
7/13/2015,50.842575
7/13/2015,51.455082
7/13/2015,50.656475
7/14/2015,51.80474
7/14/2015,52.21122
7/14/2015,52.175983
7/14/2015,51.747543
7/15/2015,51.925583
7/16/2015,52.42483
7/16/2015,52.197655
7/16/2015,53.279766
7/16/2015,52.113773
7/16/2015,51.00742
7/16/2015,48.340157
7/16/2015,49.23157
7/16/2015,49.766582
7/17/2015,50.882034
7/17/2015,50.213173
7/17/2015,50.105843
7/20/2015,52.24275
7/20/2015,50.69331
7/20/2015,50.445545
7/20/2015,51.632454
7/20/2015,52.603794
7/20/2015,52.594437
7/21/2015,53.1806
7/21/2015,53.119022
7/21/2015,50.671707
7/21/2015,51.62785
7/21/2015,50.978035
7/21/2015,51.624527
7/21/2015,52.31082
7/21/2015,52.165974
7/21/2015,51.633488
7/21/2015,52.23989
7/21/2015,53.343403
7/22/2015,53.18322
